genetic	110.05199907775122
inventory	55.3916399626654
GB172	40.48818555182185
phonological	33.06287220628424
GB080	15.995516294952143
GB316	14.62920681713149
GB193a	14.197313490620052
GB119	13.390112540853972
GB299	12.765762988816608
GB073	12.306450296955353
GB059	11.465786912520839
GB020	10.05190389120782
GB072	8.957092276351018
GB023	8.874559649985962
GB057	8.839478948153555
geographic	8.479934274938635
GB137	8.247099699240856
GB171	8.090574088908562
GB147	7.63418106501922
GB025b	7.4977237971668895
GB198	7.264945883896541
GB093	7.163190110332587
GB035	7.073505461660468
GB098	6.996962433850223
GB136	6.754079196856103
GB044	6.698992663782767
featural	6.6780529139478775
GB053	6.635482099542225
GB197	6.540765245445073
GB120	6.374804486943916
GB121	6.315060517623682
GB109	6.037796400360424
GB139	5.921661266845397
GB432	5.690490499223498
GB108	5.549808402672749
GB024b	5.4942188780246815
GB107	5.267401137008247
GB133	5.050977774091404
GB065a	5.027377307774838
GB075	4.703440971968865
GB070	4.679422135591846
GB312	4.564659922764721
GB132	4.378192762547934
GB065b	4.36360709195618
GB155	4.209332166916945
GB086	4.177611220374026
GB114	4.171796601900661
GB193b	4.124685227193615
GB042	4.088574310722337
GB196	3.9865263240538877
GB030	3.863113240635192
GB105	3.5265568772500213
GB110	3.510193523950875
GB079	3.4176231114278464
GB111	3.3960973415947096
GB022	3.1217418906532903
GB321	3.0057013690979644
GB113	2.9609887427227064
GB089	2.9128271406093105
GB084	2.861255550164391
GB309	2.758023774717003
GB082	2.317010414257476
GB081	2.2700087695213202
GB090	2.1287152663889257
GB095	2.114449339114468
GB099	2.096428766253997
GB138	1.9483132579533213
GB170	1.9170800302685662
GB115	1.7574975251389497
GB158	1.7223468711599708
GB051	1.5802708362144502
GB094	1.5153198487294668
GB039	1.5077356745234944
GB433	1.061980579641055
GB091	1.0525198089890182
GB185	1.0176317444579168
GB068	0.972180397588421
GB024a	0.9209853468293493
GB313	0.8780704946257174
GB186	0.8392603399909355
GB192	0.7882717430422251
GB184	0.7599268376996572
GB318	0.7111310197717764
GB096	0.6591302750801499
GB298	0.631520821353082
GB083	0.5849095237102698
GB074	0.4177276694046503
GB130b	0.4090530836362053
GB069	0.37274251463399694
GB071	0.19276494956152004
GB058	0.03536995872855186
GB431	0.0
GB317	0.0
GB319	0.0
GB320	0.0
GB430	0.0
GB036	0.0
GB025a	0.0
GB021	0.0
GB038	0.0
GB043	0.0
GB052	0.0
GB054	0.0
GB031	0.0
GB092	0.0
GB103	0.0
GB104	0.0
GB116	0.0
GB177	0.0
GB037	0.0
GB028	0.0
GB129	0.0
GB130a	0.0
GB131	0.0
GB149	0.0
GB165	0.0
GB166	0.0
GB117	0.0
